"key","de","en","fr","it"
"background_color","","","",""
"background_image","var(--bg-lightgrey-warm)","var(--bg-lightgrey-warm)","var(--bg-lightgrey-warm)","var(--bg-lightgrey-warm)"
"body_text_alignment","center","center","center","center"
"button_alignment","center","center","center","center"
"button_placement","content","content","content","content"
"grid_layout","c1/1","c1/1","c1/1","c1/1"
"headline_alignment","center","center","center","center"
"id","wer-profitiert","wer-profitiert","wer-profitiert","wer-profitiert"
"image","","","",""
"image-shadow","","","",""
"layout","section","section","section","section"
"primary_button_background","var(--sv-primary)","var(--sv-primary)","var(--sv-primary)","var(--sv-primary)"
"primary_button_border","","","",""
"primary_button_link","#uebersicht","#uebersicht","#uebersicht","#uebersicht"
"primary_button_text","Die beste Diagnostik","The Best Diagnostics","Le meilleur diagnostic","La migliore diagnostica"
"primary_button_text_color","var(--sv-offwhite)","var(--sv-offwhite)","var(--sv-offwhite)","var(--sv-offwhite)"
"secondary_button_background","","","",""
"secondary_button_border","","","",""
"secondary_button_link","","","",""
"secondary_button_text","","","",""
"secondary_button_text_color","","","",""
"text_color","var(--sv-body-color)","var(--sv-body-color)","var(--sv-body-color)","var(--sv-body-color)"
"title","Wer profitiert von einem Ganzkörper‑MRT?","Who Benefits from a Full-Body MRI?","Qui bénéficie d'une IRM corporelle complète ?","Chi beneficia di una risonanza magnetica total body?"
"body_text","Ein Ganzkörper-MRT ist als Überblick über Ihren körperlichen Status eine gute Sache. Besonders entlastend ist es für Menschen, die sich aus den folgenden Gründen Sorgen machen:

{{< fuer-wen-indikationen >}}","A full-body MRI is an excellent way to get an overview of your physical condition. It is particularly reassuring for people who have concerns for the following reasons:

{{< fuer-wen-indikationen >}}","Une IRM corporelle complète est un excellent moyen d’obtenir une vue d’ensemble de votre état physique. Elle est particulièrement rassurante pour les personnes qui s'inquiètent pour les raisons suivantes :

{{< fuer-wen-indikationen >}}","Una risonanza magnetica total body è un ottimo modo per ottenere una panoramica del proprio stato di salute. È particolarmente rassicurante per le persone che sono preoccupate per i seguenti motivi:

{{< fuer-wen-indikationen >}}"
